,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind
0,Arraial do Cabo,40,BR,1553119200,74,-22.97,-42.02,80.6,9.17
1,Palora,75,EC,1553119200,94,-1.7,-77.97,75.2,4.7
2,Matadi,80,CD,1553122967,100,-5.83,13.46,75.63,3.74
3,Lucea,40,JM,1553122813,74,18.44,-78.17,81.0,10.29
4,Sinnamary,100,GF,1553123056,100,5.38,-52.96,78.15,10.22
5,Fortuna,90,US,1553123008,100,40.6,-124.16,55.99,14.99
6,Ushuaia,75,AR,1553119200,87,-54.81,-68.31,48.2,23.04
7,Te Anau,68,NZ,1553123056,73,-45.41,167.72,66.81,3.4
8,Rikitea,0,PF,1553123057,100,-23.12,-134.97,78.6,23.31
9,Kruisfontein,32,ZA,1553122839,100,-34.0,24.73,64.56,8.21
10,Akureyri,75,IS,1553119200,46,65.68,-18.09,28.4,23.04
11,Kaitangata,32,NZ,1553122863,90,-46.28,169.85,67.17,2.95
12,Turukhansk,92,RU,1553123057,86,65.8,87.96,24.24,19.73
13,Athens,1,US,1553122845,15,33.96,-83.39,64.4,2.39
14,Punta Arenas,75,CL,1553122400,71,-53.16,-70.91,53.6,18.34
15,Hermanus,44,ZA,1553122836,95,-34.42,19.24,59.0,2.73
16,Sechura,8,PE,1553123058,71,-5.56,-80.82,79.86,11.01
17,Biak,88,ID,1553123058,96,-0.91,122.88,81.03,1.83
18,New Norfolk,75,AU,1553122875,88,-42.78,147.06,62.6,6.93
19,Broken Hill,48,AU,1553119200,22,-31.97,141.45,78.8,10.29
20,Kokoda,44,PG,1553123059,82,-8.88,147.74,73.11,1.16
21,Mar del Plata,0,AR,1553123059,84,-46.43,-67.52,54.03,9.1
22,Mareeba,75,AU,1553122517,83,-16.99,145.42,77.0,9.17
23,Yellowknife,20,CA,1553119200,52,62.45,-114.38,44.6,23.04
24,Avarua,92,CK,1553122800,79,-21.21,-159.78,84.2,4.7
25,Jamestown,92,SH,1553123060,100,-15.94,-5.72,75.99,13.02
26,Aykhal,0,RU,1553123060,35,65.95,111.51,-11.67,3.29
27,Vestmannaeyjar,80,IS,1553122970,90,63.44,-20.27,36.39,21.85
28,Georgetown,32,SH,1553123060,100,-7.93,-14.42,81.75,14.14
29,Madimba,92,TZ,1553123061,100,-10.4,40.33,83.19,5.53
30,Albany,90,AU,1553121000,93,-35.02,117.88,66.2,4.7
31,Bambous Virieux,40,MU,1553123041,83,-20.34,57.76,80.6,8.05
32,San Patricio,20,MX,1553121600,74,19.22,-104.7,80.6,13.87
33,Qaanaaq,8,GL,1553123062,99,77.48,-69.36,-31.11,7.87
34,Bastia,0,FR,1553123021,57,42.7,9.45,52.0,6.93
35,Puerto Carreno,0,CO,1553119200,39,6.19,-67.49,96.8,4.18
36,Busselton,64,AU,1553122814,55,-33.64,115.35,69.01,17.16
